tileid,tilelat1,tilelon1,tilelat2,tilelon2,lat1,lon1,lat2,lon2,user,timestamp,uuid
173412,-88.7117933847,16.5548647634,-88.7108950694,16.5557258788,16.5557038679,-88.7116089463,16.5556434490,-88.7115190923,callaghan_rachel,2017-02-19 21:54:47.918871+00:00,6e585fe1-cfff-4796-81dc-5a4926491ea2
173412,-88.7117933847,16.5548647634,-88.7108950694,16.5557258788,16.5551716674,-88.7110577524,16.5550726831,-88.7109665573,callaghan_rachel,2017-02-19 21:54:47.940009+00:00,861a7ce9-6fed-4920-ac6f-ca9f33d48d5b
173412,-88.7117933847,16.5548647634,-88.7108950694,16.5557258788,16.5553259286,-88.7115606666,16.5551960921,-88.7114144862,callaghan_rachel,2017-02-19 21:54:48.128125+00:00,f1a10885-10d3-4252-ae40-c4937e4a0200
173412,-88.7117933847,16.5548647634,-88.7108950694,16.5557258788,16.5553349271,-88.7111650407,16.5552063762,-88.7110148370,callaghan_rachel,2017-02-19 21:54:48.139685+00:00,6c9afa0a-9f76-4bc8-9965-8fc00ba91897
173412,-88.7117933847,16.5548647634,-88.7108950694,16.5557258788,16.5551665254,-88.7115512788,16.5550816817,-88.7114587426,callaghan_rachel,2017-02-19 21:54:48.135077+00:00,31dd0c7b-7a2a-4d32-b717-a7a555efefff
173412,-88.7117933847,16.5548647634,-88.7108950694,16.5557258788,16.5556537331,-88.7117953598,16.5555136128,-88.7116371095,callaghan_rachel,2017-02-19 21:54:48.665952+00:00,99714569-ebbb-4abf-be46-440e961f879c
173414,-88.7117933847,16.5557258788,-88.7108950694,16.5565869943,16.5565265903,-88.7110564113,16.5564134662,-88.7109397352,eklo,2016-11-04 17:40:52.646902+00:00,a71cd8fe-8071-4f6e-95ac-211e8a4cbc02
173414,-88.7117933847,16.5557258788,-88.7108950694,16.5565869943,16.5565812241,-88.7113581598,16.5564558877,-88.7112025917,eklo,2016-11-04 17:40:52.781172+00:00,9afd6e20-243e-4c95-a0e6-10877426fecd
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5567772628,-88.7109652162,16.5566307159,-88.7108606100,Watts_Ben,2017-02-21 18:35:44.747896+00:00,62409da2-9ddd-46ad-91bf-19d030d580bb
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5566795649,-88.7113487720,16.5565972928,-88.7112495303,Watts_Ben,2017-02-21 18:35:44.956790+00:00,ff8c86fd-41cf-4173-8001-c484cfca1ded
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5567027039,-88.7115231156,16.5566024348,-88.7114131451,Watts_Ben,2017-02-21 18:35:44.962016+00:00,1226cbf5-d76b-4d07-8ab4-c69c7e5012e2
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5568081148,-88.7114614248,16.5567052749,-88.7113702297,Watts_Ben,2017-02-21 18:35:45.306062+00:00,2f1f9dd2-f7a0-4843-a63e-d6e65ffb7c16
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5570780695,-88.7111636996,16.5570163656,-88.7110134959,Watts_Ben,2017-02-21 18:35:45.478975+00:00,d2df6ab4-7955-4d29-ad92-770133f2aefc
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5570934954,-88.7112817168,16.5569983686,-88.7111717463,Watts_Ben,2017-02-21 18:35:45.677083+00:00,98a5570e-004c-4139-94bc-a232fe5cfef8
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5571706253,-88.7111610174,16.5570832115,-88.7110993266,Watts_Ben,2017-02-21 18:35:45.857503+00:00,96dc5de9-541c-4700-ab68-7b1e9456f82f
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5573685917,-88.7110698223,16.5572863199,-88.7109893560,Watts_Ben,2017-02-21 18:35:46.030628+00:00,a1068dcd-10fd-4f58-b866-5666e13c40aa
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5574045855,-88.7109947205,16.5572760360,-88.7108927965,Watts_Ben,2017-02-21 18:35:46.207029+00:00,960bff1d-c820-4d23-b56f-0d9585d14181
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5573814466,-88.7112253904,16.5572477550,-88.7111020088,Watts_Ben,2017-02-21 18:35:46.396693+00:00,f964cc70-384c-4258-a3e0-fbe7c0198b3c
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5573968726,-88.7115848064,16.5573068879,-88.7114775181,Watts_Ben,2017-02-21 18:35:46.609852+00:00,cf03fed4-17c5-401d-8c01-04522db13e04
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5574842862,-88.7117081881,16.5573814466,-88.7116008997,Watts_Ben,2017-02-21 18:35:46.787563+00:00,e5fc7d24-705c-4885-a24c-7cd8df3aa4db
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5570137946,-88.7112361193,16.5569469487,-88.7111368775,Watts_Ben,2017-02-21 18:35:47.024822+00:00,06c8cd0d-65db-4437-8f2e-beea7b231ec5
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5569160967,-88.7112897635,16.5567901178,-88.7111797929,Watts_Ben,2017-02-21 18:35:45.305473+00:00,75eef556-3af1-4265-961d-4a1be2e1cb0e
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5569315227,-88.7115284801,16.5568595348,-88.7114265561,Watts_Ben,2017-02-21 18:35:45.311918+00:00,2f5d2cdf-356f-4c43-a029-9d5566ee39b6
173416,-88.7117933847,16.5565869943,-88.7108950694,16.5574481097,16.5571706253,-88.7109786272,16.5570266496,-88.7108981609,Watts_Ben,2017-02-21 18:35:47.629734+00:00,37c253b5-fadf-4fd3-9bf0-bff0935da5ce
173434,-88.7108950694,16.5540036479,-88.7099967541,16.5548647634,16.5546343234,-88.7104596198,16.5545726188,-88.7103952467,callaghan_rachel,2017-02-17 02:43:03.178725+00:00,b6975189-8ef9-474f-8d6c-47c9d9c8c760
173434,-88.7108950694,16.5540036479,-88.7099967541,16.5548647634,16.5540301311,-88.7102182209,16.5539504290,-88.7101162970,callaghan_rachel,2017-02-17 02:43:03.187818+00:00,0f7c546d-393c-4d0b-9fdb-300e05d9b0f5
173434,-88.7108950694,16.5540036479,-88.7099967541,16.5548647634,16.5542101035,-88.7106420100,16.5541124042,-88.7105186284,callaghan_rachel,2017-02-17 02:43:03.554236+00:00,37660ee3-26dc-4af8-9158-4277bbfa1544
173434,-88.7108950694,16.5540036479,-88.7099967541,16.5548647634,16.5541663959,-88.7108565867,16.5540429862,-88.7107385695,callaghan_rachel,2017-02-17 02:43:03.179158+00:00,9d4508c3-8353-4986-8ffc-7980875396f4
173434,-88.7108950694,16.5540036479,-88.7099967541,16.5548647634,16.5542422414,-88.7102986872,16.5541561118,-88.7102074921,callaghan_rachel,2017-02-17 02:43:03.899672+00:00,e1bd8d9f-5a5d-4ff9-a841-6d5c252a7491
173434,-88.7108950694,16.5540036479,-88.7099967541,16.5548647634,16.5543502247,-88.7103255093,16.5542692372,-88.7102437019,callaghan_rachel,2017-02-17 02:43:04.114912+00:00,67881023-1b47-42f6-817d-17a4b86472e4
173434,-88.7108950694,16.5540036479,-88.7099967541,16.5548647634,16.5544157860,-88.7104314566,16.5542743793,-88.7102718651,callaghan_rachel,2017-02-17 02:43:04.299593+00:00,dc76ebcf-aa11-4912-933b-a87bc96c4945
173434,-88.7108950694,16.5540036479,-88.7099967541,16.5548647634,16.5545983291,-88.7104140222,16.5544543514,-88.7102772295,callaghan_rachel,2017-02-17 02:43:04.490802+00:00,0a71b958-3551-4d4d-9195-38d90e049e68
173434,-88.7108950694,16.5540036479,-88.7099967541,16.5548647634,16.5548400055,-88.7105990946,16.5547114543,-88.7104851007,callaghan_rachel,2017-02-17 02:43:04.673833+00:00,a00b9326-473c-4b7f-b403-5d819f5ff431
173434,-88.7108950694,16.5540036479,-88.7099967541,16.5548647634,16.5546446076,-88.7109906971,16.5544800617,-88.7108619511,callaghan_rachel,2017-02-17 02:43:03.193473+00:00,493cfe9d-75d8-4b1a-9194-b636c4492908
173434,-88.7108950694,16.5540036479,-88.7099967541,16.5548647634,16.5548554317,-88.7109142542,16.5547551617,-88.7108029425,callaghan_rachel,2017-02-17 02:43:03.195538+00:00,17925516-c242-4300-ab84-e8c76720003a
173434,-88.7108950694,16.5540036479,-88.7099967541,16.5548647634,16.5540481283,-88.7102986872,16.5539645697,-88.7102021277,callaghan_rachel,2017-02-17 02:43:03.199065+00:00,64fc9d7e-4ac2-42d3-9880-26c15b55d249
173434,-88.7108950694,16.5540036479,-88.7099967541,16.5548647634,16.5543232289,-88.7102691829,16.5542473834,-88.7101954222,callaghan_rachel,2017-02-17 02:43:03.903405+00:00,c328ebd9-0d0b-457b-b7bc-5f36dedadafa
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5584741146,-88.7108391523,16.5583815594,-88.7107264996,Watts_Ben,2017-02-16 21:16:53.848416+00:00,37885543-594c-46ad-92dc-4972ebd8a6d4
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5586875055,-88.7102276087,16.5586309440,-88.7101417780,Watts_Ben,2017-02-16 21:16:54.011184+00:00,546703b5-6852-4988-a4ea-a7fc2d1a973c
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5584149821,-88.7104073167,16.5583532786,-88.7102892995,Watts_Ben,2017-02-16 21:16:54.179022+00:00,af89b8a2-a5cb-4399-b32e-d16a072cb32f
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5586155182,-88.7103483081,16.5585692407,-88.7102892995,Watts_Ben,2017-02-16 21:16:54.180454+00:00,f116e29a-2d3f-430f-b715-f5c6822648be
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5585229631,-88.7103509903,16.5584124111,-88.7102383375,Watts_Ben,2017-02-16 21:16:54.542499+00:00,2598483d-add4-4137-a0b5-7f87ee9a7825
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5584432628,-88.7102758884,16.5583429947,-88.7101632357,Watts_Ben,2017-02-16 21:16:54.706964+00:00,3c8c4561-0543-437e-a9aa-52c4d31efcc8
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5584689726,-88.7100318074,16.5583584206,-88.7099218369,Watts_Ben,2017-02-16 21:16:53.854680+00:00,91b36749-198c-472e-adb5-14c8b040cbca
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5591348543,-88.7102705240,16.5590217317,-88.7101766467,Watts_Ben,2017-02-16 21:16:55.076844+00:00,a9fd108b-5108-48ec-9035-1ef383c82539
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5591374253,-88.7107560039,16.5590474414,-88.7106648088,Watts_Ben,2017-02-16 21:16:55.267661+00:00,1b47260c-747f-4491-8641-f497156a8e2b
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5590500124,-88.7107452750,16.5589857381,-88.7106755376,Watts_Ben,2017-02-16 21:16:55.451409+00:00,09748950-2da9-4a2e-bed7-faf735d33593
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5591399962,-88.7108498812,16.5590063059,-88.7107399106,Watts_Ben,2017-02-16 21:16:55.616489+00:00,b6295ddb-0f9d-4d57-b142-a0e4f8deca49
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5586566538,-88.7108981609,16.5585281051,-88.7108150125,Watts_Ben,2017-02-16 21:16:55.780187+00:00,be287ff3-4019-4e94-9400-91e6e837d2c7
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5587980573,-88.7108954787,16.5586617957,-88.7107962370,Watts_Ben,2017-02-16 21:16:55.949256+00:00,367615da-f660-4383-a3db-d3b5a9c85843
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5585203921,-88.7105360627,16.5584535468,-88.7104421854,Watts_Ben,2017-02-16 21:16:54.188671+00:00,ba2752e0-07d5-420d-a9e0-b08f61cedd22
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5587517798,-88.7105789781,16.5586695087,-88.7104663253,Watts_Ben,2017-02-16 21:16:55.445364+00:00,e175c0c3-a9a6-4864-b21c-d8bad81640bb
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5587466378,-88.7103644013,16.5586823635,-88.7102597952,Watts_Ben,2017-02-16 21:16:56.455918+00:00,fd3d9cfc-42c8-443d-bd1c-e2b5289dc80b
173444,-88.7108950694,16.5583092251,-88.7099967541,16.5591703406,16.5586078053,-88.7102785707,16.5585692407,-88.7102302909,Watts_Ben,2017-02-16 21:16:56.729649+00:00,37c7f1af-3724-4a17-ab1e-b9a72b92287a
173467,-88.7099967541,16.5488369552,-88.7090984389,16.5496980707,16.5495539064,-88.7091976404,16.5494330649,-88.7090876698,jones_holly,2017-02-07 22:58:15.135186+00:00,995f6b08-92bd-4378-a113-129c423e1405
173467,-88.7099967541,16.5488369552,-88.7090984389,16.5496980707,16.5495243388,-88.7093196809,16.5494703458,-88.7092298269,jones_holly,2017-02-07 22:58:15.343879+00:00,8844add5-a1e3-411c-bef5-2aa2a1d1982b
